frame_no,x,y,fit_quality
388,639,511,0.993804
389,639,511,0.995594
390,639,511,0.995512
391,639,512,0.995805
392,639,512,0.995945
393,639,512,0.99633
394,639,511,0.99501
395,639,511,0.996113
396,639,511,0.996061
397,639,511,0.996188
398,639,511,0.996265
399,637,514,0.990078
400,637,514,0.988278
401,637,515,0.986942
402,639,512,0.995756
403,639,511,0.995459
404,639,511,0.995559
405,639,511,0.995796
406,639,511,0.995756
407,636,516,0.984185
408,636,515,0.985795
409,639,511,0.996216
410,639,511,0.996321
411,637,515,0.986899
412,639,511,0.996638
413,637,515,0.986105
414,637,516,0.985529
415,637,515,0.984821
416,637,515,0.985157
417,636,516,0.984814
418,637,514,0.988727
419,637,515,0.985721
420,637,515,0.986272
421,637,515,0.986276
422,636,516,0.984028
423,637,515,0.985199
424,636,516,0.985295
425,638,513,0.990965
426,637,516,0.985296
427,637,516,0.985514
428,636,516,0.985181
429,636,517,0.984164
430,636,516,0.984331
431,637,515,0.986645
432,637,515,0.987852
433,637,515,0.987163
434,638,513,0.991566
435,637,515,0.987254
436,637,514,0.989202
437,636,515,0.986028
438,637,515,0.985349
439,637,516,0.985665
440,636,516,0.98478
441,637,515,0.986552
442,637,515,0.986667
443,637,515,0.985621
444,637,515,0.987578
445,637,515,0.987838
446,637,515,0.986121
447,637,516,0.98553
448,637,515,0.98565
449,637,516,0.98545
450,637,515,0.986134
451,637,515,0.985712
452,637,515,0.98701
453,637,515,0.985564
454,637,515,0.986446
455,638,512,0.993928
456,638,512,0.993989
457,636,515,0.985181
458,636,515,0.983316
459,637,515,0.987771
460,638,513,0.990426
461,636,516,0.983089
462,636,516,0.982828
463,637,515,0.986142
464,637,515,0.987292
465,637,515,0.987889
466,637,514,0.988635
467,637,514,0.988435
468,637,515,0.986578
469,637,515,0.987347
470,636,516,0.983754
471,635,517,0.982183
472,637,515,0.986658
473,637,515,0.987609
474,636,516,0.984157
475,636,516,0.984705
476,635,517,0.982418
477,638,513,0.991688
478,637,514,0.990417
479,636,516,0.984307
480,638,513,0.993126
481,637,515,0.985986
482,637,515,0.986568
483,636,515,0.985362
484,638,512,0.994251
485,636,515,0.987211
486,637,515,0.986943
487,636,516,0.985369
488,637,515,0.987881
489,637,515,0.988049
490,636,516,0.986531
491,637,515,0.988271
492,637,515,0.9879
493,637,515,0.988018
494,636,515,0.986607
495,637,513,0.991331
496,637,514,0.989362
497,636,514,0.986899
498,637,514,0.988875
499,637,514,0.989288
500,636,515,0.986086
501,639,511,0.996007
502,639,511,0.996564
503,639,511,0.996148
